Palavra,Artista,Quantidade_y,Quantidade_total,Gênero,Década de nascimento,UF de nascimento,Nome
candy,ferrugem,2,690,Man,1980-1989,RJ,Ferrugem
hurt,ferrugem,5,639,Man,1980-1989,RJ,Ferrugem
owner,ferrugem,1,564,Man,1980-1989,RJ,Ferrugem
ache,ferrugem,6,2290,Man,1980-1989,RJ,Ferrugem
to sleep,ferrugem,13,868,Man,1980-1989,RJ,Ferrugem
although,ferrugem,11,1492,Man,1980-1989,RJ,Ferrugem
emotion,ferrugem,4,671,Man,1980-1989,RJ,Ferrugem
delight,ferrugem,6,514,Man,1980-1989,RJ,Ferrugem
meet,ferrugem,20,2135,Man,1980-1989,RJ,Ferrugem
understand,ferrugem,17,970,Man,1980-1989,RJ,Ferrugem
get in,ferrugem,11,1652,Man,1980-1989,RJ,Ferrugem
deliver,ferrugem,13,774,Man,1980-1989,RJ,Ferrugem
err,ferrugem,8,872,Man,1980-1989,RJ,Ferrugem
to hopes,ferrugem,2,622,Man,1980-1989,RJ,Ferrugem
wait,ferrugem,13,1753,Man,1980-1989,RJ,Ferrugem
forget,ferrugem,27,2291,Man,1980-1989,RJ,Ferrugem
exist,ferrugem,8,1025,Man,1980-1989,RJ,Ferrugem
speak,ferrugem,37,2676,Man,1980-1989,RJ,Ferrugem
fail,ferrugem,24,940,Man,1980-1989,RJ,Ferrugem
miss,ferrugem,18,925,Man,1980-1989,RJ,Ferrugem
favor,ferrugem,5,665,Man,1980-1989,RJ,Ferrugem
happiness,ferrugem,15,1110,Man,1980-1989,RJ,Ferrugem
happy,ferrugem,21,2585,Man,1980-1989,RJ,Ferrugem
party,ferrugem,4,808,Man,1980-1989,RJ,Ferrugem
end,ferrugem,11,1834,Man,1980-1989,RJ,Ferrugem
flower,ferrugem,1,1265,Man,1980-1989,RJ,Ferrugem
fire,ferrugem,6,724,Man,1980-1989,RJ,Ferrugem
strong,ferrugem,3,723,Man,1980-1989,RJ,Ferrugem
to force,ferrugem,2,658,Man,1980-1989,RJ,Ferrugem
front,ferrugem,5,637,Man,1980-1989,RJ,Ferrugem
to merge,ferrugem,1,635,Man,1980-1989,RJ,Ferrugem
faith,ferrugem,9,861,Man,1980-1989,RJ,Ferrugem
to win,ferrugem,6,720,Man,1980-1989,RJ,Ferrugem
people,ferrugem,99,5724,Man,1980-1989,RJ,Ferrugem
like,ferrugem,8,2259,Man,1980-1989,RJ,Ferrugem
big,ferrugem,1,1626,Man,1980-1989,RJ,Ferrugem
shout out,ferrugem,6,642,Man,1980-1989,RJ,Ferrugem
save,ferrugem,10,807,Man,1980-1989,RJ,Ferrugem
story,ferrugem,4,728,Man,1980-1989,RJ,Ferrugem
today,ferrugem,32,2878,Man,1980-1989,RJ,Ferrugem
men,ferrugem,8,1384,Man,1980-1989,RJ,Ferrugem
hour,ferrugem,18,2096,Man,1980-1989,RJ,Ferrugem
equal,ferrugem,5,658,Man,1980-1989,RJ,Ferrugem
illusion,ferrugem,1,847,Man,1980-1989,RJ,Ferrugem
acquaint,ferrugem,13,1032,Man,1980-1989,RJ,Ferrugem
brother,ferrugem,1,590,Man,1980-1989,RJ,Ferrugem
never,ferrugem,7,638,Man,1980-1989,RJ,Ferrugem
way,ferrugem,17,1733,Man,1980-1989,RJ,Ferrugem
to play,ferrugem,10,1562,Man,1980-1989,RJ,Ferrugem
get together,ferrugem,11,544,Man,1980-1989,RJ,Ferrugem
together,ferrugem,6,755,Man,1980-1989,RJ,Ferrugem
to swear,ferrugem,8,789,Man,1980-1989,RJ,Ferrugem
side,ferrugem,8,1321,Man,1980-1989,RJ,Ferrugem
to remember,ferrugem,31,1250,Man,1980-1989,RJ,Ferrugem
to read,ferrugem,3,934,Man,1980-1989,RJ,Ferrugem
take along,ferrugem,19,2918,Man,1980-1989,RJ,Ferrugem
turn on,ferrugem,9,835,Man,1980-1989,RJ,Ferrugem
beautiful,ferrugem,4,843,Man,1980-1989,RJ,Ferrugem
pretty,ferrugem,2,954,Man,1980-1989,RJ,Ferrugem
far,ferrugem,5,852,Man,1980-1989,RJ,Ferrugem
Crazy,ferrugem,19,1032,Man,1980-1989,RJ,Ferrugem
love,ferrugem,4,637,Man,1980-1989,RJ,Ferrugem
moon,ferrugem,5,1323,Man,1980-1989,RJ,Ferrugem
place,ferrugem,2,1602,Man,1980-1989,RJ,Ferrugem
to fight,ferrugem,1,636,Man,1980-1989,RJ,Ferrugem
sparkle,ferrugem,9,1704,Man,1980-1989,RJ,Ferrugem
madrugar,ferrugem,11,674,Man,1980-1989,RJ,Ferrugem
larger,ferrugem,3,628,Man,1980-1989,RJ,Ferrugem
bad,ferrugem,1,1934,Man,1980-1989,RJ,Ferrugem
rascal,ferrugem,2,604,Man,1980-1989,RJ,Ferrugem
to send,ferrugem,9,1580,Man,1980-1989,RJ,Ferrugem
morning,ferrugem,4,794,Man,1980-1989,RJ,Ferrugem
sea,ferrugem,5,2991,Man,1980-1989,RJ,Ferrugem
to kill,ferrugem,5,1245,Man,1980-1989,RJ,Ferrugem
fear,ferrugem,9,979,Man,1980-1989,RJ,Ferrugem
best,ferrugem,10,1360,Man,1980-1989,RJ,Ferrugem
boy,ferrugem,3,1627,Man,1980-1989,RJ,Ferrugem
to lie,ferrugem,29,855,Man,1980-1989,RJ,Ferrugem
to deserve,ferrugem,3,621,Man,1980-1989,RJ,Ferrugem
same,ferrugem,16,2388,Man,1980-1989,RJ,Ferrugem
thousand,ferrugem,8,621,Man,1980-1989,RJ,Ferrugem
time,ferrugem,5,820,Man,1980-1989,RJ,Ferrugem
to live,ferrugem,6,1152,Man,1980-1989,RJ,Ferrugem
to die,ferrugem,9,2666,Man,1980-1989,RJ,Ferrugem
Show,ferrugem,4,717,Man,1980-1989,RJ,Ferrugem
boy,ferrugem,1,716,Man,1980-1989,RJ,Ferrugem
change,ferrugem,8,1098,Man,1980-1989,RJ,Ferrugem
woman,ferrugem,19,2994,Man,1980-1989,RJ,Ferrugem
world,ferrugem,14,3522,Man,1980-1989,RJ,Ferrugem
mother,ferrugem,1,789,Man,1980-1989,RJ,Ferrugem
hand,ferrugem,20,2300,Man,1980-1989,RJ,Ferrugem
to fall in love,ferrugem,21,737,Man,1980-1989,RJ,Ferrugem
born,ferrugem,8,1401,Man,1980-1989,RJ,Ferrugem
deny,ferrugem,9,1206,Man,1980-1989,RJ,Ferrugem
nobody,ferrugem,25,3085,Man,1980-1989,RJ,Ferrugem
night,ferrugem,13,2864,Man,1980-1989,RJ,Ferrugem
Name,ferrugem,6,928,Man,1980-1989,RJ,Ferrugem
new,ferrugem,7,1685,Man,1980-1989,RJ,Ferrugem
Never,ferrugem,24,2565,Man,1980-1989,RJ,Ferrugem
to look,ferrugem,41,4919,Man,1980-1989,RJ,Ferrugem
eye,ferrugem,9,1668,Man,1980-1989,RJ,Ferrugem
wave,ferrugem,4,683,Man,1980-1989,RJ,Ferrugem
other,ferrugem,19,2805,Man,1980-1989,RJ,Ferrugem
listen,ferrugem,14,1639,Man,1980-1989,RJ,Ferrugem
pay,ferrugem,1,832,Man,1980-1989,RJ,Ferrugem
pagoda,ferrugem,4,658,Man,1980-1989,RJ,Ferrugem
dad,ferrugem,8,835,Man,1980-1989,RJ,Ferrugem
passion,ferrugem,10,1591,Man,1980-1989,RJ,Ferrugem
word,ferrugem,2,583,Man,1980-1989,RJ,Ferrugem
stop,ferrugem,10,1510,Man,1980-1989,RJ,Ferrugem
seem,ferrugem,9,793,Man,1980-1989,RJ,Ferrugem
leave,ferrugem,6,1209,Man,1980-1989,RJ,Ferrugem
to spend,ferrugem,39,4368,Man,1980-1989,RJ,Ferrugem
peace,ferrugem,25,1855,Man,1980-1989,RJ,Ferrugem
ask,ferrugem,11,2118,Man,1980-1989,RJ,Ferrugem
take,ferrugem,23,1843,Man,1980-1989,RJ,Ferrugem
suborn,ferrugem,5,1462,Man,1980-1989,RJ,Ferrugem
fur,ferrugem,6,598,Man,1980-1989,RJ,Ferrugem
sorrow,ferrugem,2,1260,Man,1980-1989,RJ,Ferrugem
think,ferrugem,31,2418,Man,1980-1989,RJ,Ferrugem
lose,ferrugem,20,2443,Man,1980-1989,RJ,Ferrugem
to ask,ferrugem,4,563,Man,1980-1989,RJ,Ferrugem
near,ferrugem,7,647,Man,1980-1989,RJ,Ferrugem
poor,ferrugem,1,635,Man,1980-1989,RJ,Ferrugem
power,ferrugem,70,7634,Man,1980-1989,RJ,Ferrugem
bear,ferrugem,5,690,Man,1980-1989,RJ,Ferrugem
little,ferrugem,19,1124,Man,1980-1989,RJ,Ferrugem
pleasure,ferrugem,19,1042,Man,1980-1989,RJ,Ferrugem
need,ferrugem,28,2443,Man,1980-1989,RJ,Ferrugem
black,ferrugem,5,740,Man,1980-1989,RJ,Ferrugem
first,ferrugem,6,882,Man,1980-1989,RJ,Ferrugem
Search for,ferrugem,14,2198,Man,1980-1989,RJ,Ferrugem
to test,ferrugem,9,581,Man,1980-1989,RJ,Ferrugem
foot,ferrugem,8,1424,Man,1980-1989,RJ,Ferrugem
which,ferrugem,6,654,Man,1980-1989,RJ,Ferrugem
quantum,ferrugem,2,531,Man,1980-1989,RJ,Ferrugem
almost,ferrugem,4,764,Man,1980-1989,RJ,Ferrugem
break,ferrugem,1,614,Man,1980-1989,RJ,Ferrugem
reason,ferrugem,6,1038,Man,1980-1989,RJ,Ferrugem
chorus,ferrugem,1,1021,Man,1980-1989,RJ,Ferrugem
King,ferrugem,2,998,Man,1980-1989,RJ,Ferrugem
suddenly,ferrugem,6,1108,Man,1980-1989,RJ,Ferrugem
to laugh,ferrugem,1,839,Man,1980-1989,RJ,Ferrugem
to roll,ferrugem,6,626,Man,1980-1989,RJ,Ferrugem
Rosar,ferrugem,3,725,Man,1980-1989,RJ,Ferrugem
to samba,ferrugem,38,6306,Man,1980-1989,RJ,Ferrugem
Holy,ferrugem,1,780,Man,1980-1989,RJ,Ferrugem
miss,ferrugem,21,2670,Man,1980-1989,RJ,Ferrugem
follow,ferrugem,5,771,Man,1980-1989,RJ,Ferrugem
ever,ferrugem,22,3360,Man,1980-1989,RJ,Ferrugem
Mr,ferrugem,2,1178,Man,1980-1989,RJ,Ferrugem
to feel,ferrugem,49,3125,Man,1980-1989,RJ,Ferrugem
remain,ferrugem,3,608,Man,1980-1989,RJ,Ferrugem
to suffer,ferrugem,15,2090,Man,1980-1989,RJ,Ferrugem
Sun,ferrugem,16,2154,Man,1980-1989,RJ,Ferrugem
loneliness,ferrugem,3,878,Man,1980-1989,RJ,Ferrugem
sound,ferrugem,14,643,Man,1980-1989,RJ,Ferrugem
to dream,ferrugem,24,2462,Man,1980-1989,RJ,Ferrugem
dream,ferrugem,8,1098,Man,1980-1989,RJ,Ferrugem
to smile,ferrugem,6,1303,Man,1980-1989,RJ,Ferrugem
smile,ferrugem,9,896,Man,1980-1989,RJ,Ferrugem
to sweat,ferrugem,34,3445,Man,1980-1989,RJ,Ferrugem
move up,ferrugem,2,519,Man,1980-1989,RJ,Ferrugem
delay,ferrugem,5,608,Man,1980-1989,RJ,Ferrugem
time,ferrugem,44,3470,Man,1980-1989,RJ,Ferrugem
to try,ferrugem,34,1107,Man,1980-1989,RJ,Ferrugem
Earth,ferrugem,1,1295,Man,1980-1989,RJ,Ferrugem
touch,ferrugem,4,1207,Man,1980-1989,RJ,Ferrugem
to take,ferrugem,11,897,Man,1980-1989,RJ,Ferrugem
to work,ferrugem,4,743,Man,1980-1989,RJ,Ferrugem
bring,ferrugem,8,1614,Man,1980-1989,RJ,Ferrugem
sad,ferrugem,6,1063,Man,1980-1989,RJ,Ferrugem
sadness,ferrugem,1,1071,Man,1980-1989,RJ,Ferrugem
worth,ferrugem,9,1283,Man,1980-1989,RJ,Ferrugem
blow,ferrugem,3,911,Man,1980-1989,RJ,Ferrugem
to see,ferrugem,49,9632,Man,1980-1989,RJ,Ferrugem
truth,ferrugem,21,1075,Man,1980-1989,RJ,Ferrugem
life,ferrugem,32,6401,Man,1980-1989,RJ,Ferrugem
turn,ferrugem,7,1109,Man,1980-1989,RJ,Ferrugem
to live,ferrugem,40,4828,Man,1980-1989,RJ,Ferrugem
fly,ferrugem,15,593,Man,1980-1989,RJ,Ferrugem
come back,ferrugem,21,3429,Man,1980-1989,RJ,Ferrugem
will,ferrugem,12,833,Man,1980-1989,RJ,Ferrugem
voice,ferrugem,4,1099,Man,1980-1989,RJ,Ferrugem
Water,ferrugem,6,1388,Man,1980-1989,RJ,Ferrugem
to hug,francisco-alves,2,742,Man,1890-1899,RJ,Francisco Alves
Open,francisco-alves,8,912,Man,1890-1899,RJ,Francisco Alves
to finish,francisco-alves,12,1832,Man,1890-1899,RJ,Francisco Alves
find,francisco-alves,9,1151,Man,1890-1899,RJ,Francisco Alves
happen,francisco-alves,1,929,Man,1890-1899,RJ,Francisco Alves
wake up,francisco-alves,8,698,Man,1890-1899,RJ,Francisco Alves
to believe,francisco-alves,5,756,Man,1890-1899,RJ,Francisco Alves
bye,francisco-alves,26,801,Man,1890-1899,RJ,Francisco Alves
now,francisco-alves,19,2881,Man,1890-1899,RJ,Francisco Alves
happiness,francisco-alves,11,1494,Man,1890-1899,RJ,Francisco Alves
any,francisco-alves,4,538,Man,1890-1899,RJ,Francisco Alves
almo,francisco-alves,5,613,Man,1890-1899,RJ,Francisco Alves
high,francisco-alves,3,649,Man,1890-1899,RJ,Francisco Alves
in addition,francisco-alves,2,940,Man,1890-1899,RJ,Francisco Alves
tomorrow,francisco-alves,4,1094,Man,1890-1899,RJ,Francisco Alves
love,francisco-alves,51,9816,Man,1890-1899,RJ,Francisco Alves
cozying,francisco-alves,4,701,Man,1890-1899,RJ,Francisco Alves
friend,francisco-alves,4,635,Man,1890-1899,RJ,Francisco Alves
love,francisco-alves,236,31458,Man,1890-1899,RJ,Francisco Alves
walk,francisco-alves,13,1990,Man,1890-1899,RJ,Francisco Alves
love,francisco-alves,2,714,Man,1890-1899,RJ,Francisco Alves
only,francisco-alves,4,538,Man,1890-1899,RJ,Francisco Alves
learn,francisco-alves,2,704,Man,1890-1899,RJ,Francisco Alves
air,francisco-alves,2,778,Man,1890-1899,RJ,Francisco Alves
blue,francisco-alves,13,668,Man,1890-1899,RJ,Francisco Alves
bahia,francisco-alves,9,658,Man,1890-1899,RJ,Francisco Alves
to swing,francisco-alves,1,668,Man,1890-1899,RJ,Francisco Alves
to knock,francisco-alves,10,1694,Man,1890-1899,RJ,Francisco Alves
batucar,francisco-alves,2,526,Man,1890-1899,RJ,Francisco Alves
drink,francisco-alves,11,983,Man,1890-1899,RJ,Francisco Alves
kiss,francisco-alves,26,1982,Man,1890-1899,RJ,Francisco Alves
beauty,francisco-alves,5,765,Man,1890-1899,RJ,Francisco Alves
beautiful,francisco-alves,3,561,Man,1890-1899,RJ,Francisco Alves
mouth,francisco-alves,4,1198,Man,1890-1899,RJ,Francisco Alves
Good,francisco-alves,27,3691,Man,1890-1899,RJ,Francisco Alves
beautiful,francisco-alves,7,1166,Man,1890-1899,RJ,Francisco Alves
White,francisco-alves,6,706,Man,1890-1899,RJ,Francisco Alves
Brazil,francisco-alves,42,1094,Man,1890-1899,RJ,Francisco Alves
Brazilian,francisco-alves,5,549,Man,1890-1899,RJ,Francisco Alves
arm,francisco-alves,4,799,Man,1890-1899,RJ,Francisco Alves
fight,francisco-alves,3,610,Man,1890-1899,RJ,Francisco Alves
shine,francisco-alves,5,921,Man,1890-1899,RJ,Francisco Alves
to play,francisco-alves,11,742,Man,1890-1899,RJ,Francisco Alves
search,francisco-alves,2,674,Man,1890-1899,RJ,Francisco Alves
head,francisco-alves,2,760,Man,1890-1899,RJ,Francisco Alves
to fall,francisco-alves,12,1544,Man,1890-1899,RJ,Francisco Alves
silence,francisco-alves,6,549,Man,1890-1899,RJ,Francisco Alves
heat,francisco-alves,3,629,Man,1890-1899,RJ,Francisco Alves
walk,francisco-alves,5,1179,Man,1890-1899,RJ,Francisco Alves
weary,francisco-alves,2,880,Man,1890-1899,RJ,Francisco Alves
sing,francisco-alves,88,8891,Man,1890-1899,RJ,Francisco Alves
song,francisco-alves,13,1030,Man,1890-1899,RJ,Francisco Alves
Carnival,francisco-alves,3,816,Man,1890-1899,RJ,Francisco Alves
expensive,francisco-alves,15,2089,Man,1890-1899,RJ,Francisco Alves
to marry,francisco-alves,12,2147,Man,1890-1899,RJ,Francisco Alves
certain,francisco-alves,2,522,Man,1890-1899,RJ,Francisco Alves
right,francisco-alves,2,571,Man,1890-1899,RJ,Francisco Alves
Call,francisco-alves,4,1650,Man,1890-1899,RJ,Francisco Alves
to arrive,francisco-alves,31,4489,Man,1890-1899,RJ,Francisco Alves
full,francisco-alves,5,743,Man,1890-1899,RJ,Francisco Alves
cry,francisco-alves,38,4386,Man,1890-1899,RJ,Francisco Alves
floor,francisco-alves,7,1037,Man,1890-1899,RJ,Francisco Alves
City,francisco-alves,14,1002,Man,1890-1899,RJ,Francisco Alves
top,francisco-alves,2,979,Man,1890-1899,RJ,Francisco Alves
thing,francisco-alves,8,2410,Man,1890-1899,RJ,Francisco Alves
eat,francisco-alves,22,4536,Man,1890-1899,RJ,Francisco Alves
with me,francisco-alves,8,1583,Man,1890-1899,RJ,Francisco Alves
how,francisco-alves,28,3838,Man,1890-1899,RJ,Francisco Alves
purchase,francisco-alves,1,536,Man,1890-1899,RJ,Francisco Alves
to meet,francisco-alves,3,878,Man,1890-1899,RJ,Francisco Alves
tell,francisco-alves,7,1269,Man,1890-1899,RJ,Francisco Alves
color,francisco-alves,11,821,Man,1890-1899,RJ,Francisco Alves
heart,francisco-alves,56,6266,Man,1890-1899,RJ,Francisco Alves
body,francisco-alves,1,1523,Man,1890-1899,RJ,Francisco Alves
kid,francisco-alves,22,708,Man,1890-1899,RJ,Francisco Alves
take care,francisco-alves,5,514,Man,1890-1899,RJ,Francisco Alves
sky,francisco-alves,23,2061,Man,1890-1899,RJ,Francisco Alves
to dance,francisco-alves,5,1429,Man,1890-1899,RJ,Francisco Alves
inside,francisco-alves,8,1212,Man,1890-1899,RJ,Francisco Alves
later,francisco-alves,16,1839,Man,1890-1899,RJ,Francisco Alves
since,francisco-alves,12,562,Man,1890-1899,RJ,Francisco Alves
Wish,francisco-alves,7,1051,Man,1890-1899,RJ,Francisco Alves
undo,francisco-alves,4,554,Man,1890-1899,RJ,Francisco Alves
earmark,francisco-alves,6,562,Man,1890-1899,RJ,Francisco Alves
God,francisco-alves,23,3257,Man,1890-1899,RJ,Francisco Alves
duty,francisco-alves,11,955,Man,1890-1899,RJ,Francisco Alves
day,francisco-alves,34,4842,Man,1890-1899,RJ,Francisco Alves
cash,francisco-alves,9,680,Man,1890-1899,RJ,Francisco Alves
to say,francisco-alves,64,8012,Man,1890-1899,RJ,Francisco Alves
candy,francisco-alves,3,690,Man,1890-1899,RJ,Francisco Alves
owner,francisco-alves,4,564,Man,1890-1899,RJ,Francisco Alves
ache,francisco-alves,21,2290,Man,1890-1899,RJ,Francisco Alves
to sleep,francisco-alves,4,868,Man,1890-1899,RJ,Francisco Alves
although,francisco-alves,13,1492,Man,1890-1899,RJ,Francisco Alves
emotion,francisco-alves,3,671,Man,1890-1899,RJ,Francisco Alves
delight,francisco-alves,2,514,Man,1890-1899,RJ,Francisco Alves
meet,francisco-alves,15,2135,Man,1890-1899,RJ,Francisco Alves
get in,francisco-alves,7,1652,Man,1890-1899,RJ,Francisco Alves
deliver,francisco-alves,3,774,Man,1890-1899,RJ,Francisco Alves
err,francisco-alves,5,872,Man,1890-1899,RJ,Francisco Alves
to hopes,francisco-alves,6,622,Man,1890-1899,RJ,Francisco Alves
wait,francisco-alves,11,1753,Man,1890-1899,RJ,Francisco Alves
forget,francisco-alves,18,2291,Man,1890-1899,RJ,Francisco Alves
exist,francisco-alves,7,1025,Man,1890-1899,RJ,Francisco Alves
speak,francisco-alves,12,2676,Man,1890-1899,RJ,Francisco Alves
fail,francisco-alves,5,940,Man,1890-1899,RJ,Francisco Alves
favor,francisco-alves,7,665,Man,1890-1899,RJ,Francisco Alves
happiness,francisco-alves,9,1110,Man,1890-1899,RJ,Francisco Alves
happy,francisco-alves,23,2585,Man,1890-1899,RJ,Francisco Alves
party,francisco-alves,5,808,Man,1890-1899,RJ,Francisco Alves
end,francisco-alves,15,1834,Man,1890-1899,RJ,Francisco Alves
flower,francisco-alves,19,1265,Man,1890-1899,RJ,Francisco Alves
fire,francisco-alves,1,724,Man,1890-1899,RJ,Francisco Alves
strong,francisco-alves,7,723,Man,1890-1899,RJ,Francisco Alves
to force,francisco-alves,1,658,Man,1890-1899,RJ,Francisco Alves
front,francisco-alves,1,637,Man,1890-1899,RJ,Francisco Alves
to run away,francisco-alves,7,584,Man,1890-1899,RJ,Francisco Alves
to merge,francisco-alves,2,635,Man,1890-1899,RJ,Francisco Alves
faith,francisco-alves,3,861,Man,1890-1899,RJ,Francisco Alves
to win,francisco-alves,4,720,Man,1890-1899,RJ,Francisco Alves
people,francisco-alves,19,5724,Man,1890-1899,RJ,Francisco Alves
like,francisco-alves,10,2259,Man,1890-1899,RJ,Francisco Alves
big,francisco-alves,23,1626,Man,1890-1899,RJ,Francisco Alves
shout out,francisco-alves,5,642,Man,1890-1899,RJ,Francisco Alves
save,francisco-alves,12,807,Man,1890-1899,RJ,Francisco Alves
story,francisco-alves,5,728,Man,1890-1899,RJ,Francisco Alves
today,francisco-alves,20,2878,Man,1890-1899,RJ,Francisco Alves
men,francisco-alves,11,1384,Man,1890-1899,RJ,Francisco Alves
hour,francisco-alves,11,2096,Man,1890-1899,RJ,Francisco Alves
equal,francisco-alves,5,658,Man,1890-1899,RJ,Francisco Alves
illusion,francisco-alves,13,847,Man,1890-1899,RJ,Francisco Alves
acquaint,francisco-alves,6,1032,Man,1890-1899,RJ,Francisco Alves
brother,francisco-alves,1,590,Man,1890-1899,RJ,Francisco Alves
to play,francisco-alves,4,1562,Man,1890-1899,RJ,Francisco Alves
get together,francisco-alves,4,544,Man,1890-1899,RJ,Francisco Alves
to swear,francisco-alves,11,789,Man,1890-1899,RJ,Francisco Alves
side,francisco-alves,10,1321,Man,1890-1899,RJ,Francisco Alves
to remember,francisco-alves,18,1250,Man,1890-1899,RJ,Francisco Alves
to read,francisco-alves,3,934,Man,1890-1899,RJ,Francisco Alves
take along,francisco-alves,13,2918,Man,1890-1899,RJ,Francisco Alves
beautiful,francisco-alves,6,843,Man,1890-1899,RJ,Francisco Alves
pretty,francisco-alves,11,954,Man,1890-1899,RJ,Francisco Alves
far,francisco-alves,13,852,Man,1890-1899,RJ,Francisco Alves
Crazy,francisco-alves,4,1032,Man,1890-1899,RJ,Francisco Alves
love,francisco-alves,4,637,Man,1890-1899,RJ,Francisco Alves
moon,francisco-alves,29,1323,Man,1890-1899,RJ,Francisco Alves
place,francisco-alves,4,1602,Man,1890-1899,RJ,Francisco Alves
to fight,francisco-alves,5,636,Man,1890-1899,RJ,Francisco Alves
sparkle,francisco-alves,22,1704,Man,1890-1899,RJ,Francisco Alves
madrugar,francisco-alves,3,674,Man,1890-1899,RJ,Francisco Alves
larger,francisco-alves,10,628,Man,1890-1899,RJ,Francisco Alves
bad,francisco-alves,10,1934,Man,1890-1899,RJ,Francisco Alves
rascal,francisco-alves,3,604,Man,1890-1899,RJ,Francisco Alves
to send,francisco-alves,9,1580,Man,1890-1899,RJ,Francisco Alves
hose,francisco-alves,3,520,Man,1890-1899,RJ,Francisco Alves
morning,francisco-alves,2,794,Man,1890-1899,RJ,Francisco Alves
sea,francisco-alves,26,2991,Man,1890-1899,RJ,Francisco Alves
Mary,francisco-alves,14,1022,Man,1890-1899,RJ,Francisco Alves
to kill,francisco-alves,5,1245,Man,1890-1899,RJ,Francisco Alves
fear,francisco-alves,6,979,Man,1890-1899,RJ,Francisco Alves
best,francisco-alves,3,1360,Man,1890-1899,RJ,Francisco Alves
boy,francisco-alves,3,1627,Man,1890-1899,RJ,Francisco Alves
to lie,francisco-alves,15,855,Man,1890-1899,RJ,Francisco Alves
to deserve,francisco-alves,2,621,Man,1890-1899,RJ,Francisco Alves
same,francisco-alves,25,2388,Man,1890-1899,RJ,Francisco Alves
thousand,francisco-alves,6,621,Man,1890-1899,RJ,Francisco Alves
time,francisco-alves,4,820,Man,1890-1899,RJ,Francisco Alves
to live,francisco-alves,5,1152,Man,1890-1899,RJ,Francisco Alves
dark skinned,francisco-alves,6,931,Man,1890-1899,RJ,Francisco Alves
to die,francisco-alves,23,2666,Man,1890-1899,RJ,Francisco Alves
Show,francisco-alves,2,717,Man,1890-1899,RJ,Francisco Alves
change,francisco-alves,5,1098,Man,1890-1899,RJ,Francisco Alves
woman,francisco-alves,51,2994,Man,1890-1899,RJ,Francisco Alves
world,francisco-alves,20,3522,Man,1890-1899,RJ,Francisco Alves
mother,francisco-alves,3,789,Man,1890-1899,RJ,Francisco Alves
hand,francisco-alves,7,2300,Man,1890-1899,RJ,Francisco Alves
to fall in love,francisco-alves,2,737,Man,1890-1899,RJ,Francisco Alves
born,francisco-alves,8,1401,Man,1890-1899,RJ,Francisco Alves
black,francisco-alves,1,671,Man,1890-1899,RJ,Francisco Alves
nobody,francisco-alves,20,3085,Man,1890-1899,RJ,Francisco Alves
night,francisco-alves,44,2864,Man,1890-1899,RJ,Francisco Alves
Name,francisco-alves,9,928,Man,1890-1899,RJ,Francisco Alves
new,francisco-alves,4,1685,Man,1890-1899,RJ,Francisco Alves
Never,francisco-alves,12,2565,Man,1890-1899,RJ,Francisco Alves
to look,francisco-alves,31,4919,Man,1890-1899,RJ,Francisco Alves
eye,francisco-alves,21,1668,Man,1890-1899,RJ,Francisco Alves
other,francisco-alves,9,2805,Man,1890-1899,RJ,Francisco Alves
listen,francisco-alves,15,1639,Man,1890-1899,RJ,Francisco Alves
pay,francisco-alves,2,832,Man,1890-1899,RJ,Francisco Alves
dad,francisco-alves,4,835,Man,1890-1899,RJ,Francisco Alves
passion,francisco-alves,8,1591,Man,1890-1899,RJ,Francisco Alves
word,francisco-alves,3,583,Man,1890-1899,RJ,Francisco Alves
stop,francisco-alves,2,1510,Man,1890-1899,RJ,Francisco Alves
seem,francisco-alves,5,793,Man,1890-1899,RJ,Francisco Alves
leave,francisco-alves,8,1209,Man,1890-1899,RJ,Francisco Alves
to spend,francisco-alves,32,4368,Man,1890-1899,RJ,Francisco Alves
peace,francisco-alves,5,1855,Man,1890-1899,RJ,Francisco Alves
ask,francisco-alves,9,2118,Man,1890-1899,RJ,Francisco Alves
take,francisco-alves,3,1843,Man,1890-1899,RJ,Francisco Alves
suborn,francisco-alves,7,1462,Man,1890-1899,RJ,Francisco Alves
fur,francisco-alves,6,598,Man,1890-1899,RJ,Francisco Alves
sorrow,francisco-alves,11,1260,Man,1890-1899,RJ,Francisco Alves
think,francisco-alves,21,2418,Man,1890-1899,RJ,Francisco Alves
lose,francisco-alves,11,2443,Man,1890-1899,RJ,Francisco Alves
to forgive,francisco-alves,5,606,Man,1890-1899,RJ,Francisco Alves
forgiveness,francisco-alves,2,586,Man,1890-1899,RJ,Francisco Alves
to ask,francisco-alves,6,563,Man,1890-1899,RJ,Francisco Alves
near,francisco-alves,4,647,Man,1890-1899,RJ,Francisco Alves
to plant,francisco-alves,2,762,Man,1890-1899,RJ,Francisco Alves
poor,francisco-alves,7,635,Man,1890-1899,RJ,Francisco Alves
power,francisco-alves,48,7634,Man,1890-1899,RJ,Francisco Alves
bear,francisco-alves,5,690,Man,1890-1899,RJ,Francisco Alves
little,francisco-alves,3,1124,Man,1890-1899,RJ,Francisco Alves
people,francisco-alves,5,1256,Man,1890-1899,RJ,Francisco Alves
pleasure,francisco-alves,7,1042,Man,1890-1899,RJ,Francisco Alves
need,francisco-alves,8,2443,Man,1890-1899,RJ,Francisco Alves
